Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
28,Yes,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,meduim,one,Laboratory Technician,high,Single,2028,Yes,meduim,zero,6,better,4,2,3
29,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,very_high,three,Manufacturing Director,low,Divorced,9980,No,high,one,10,better,10,9,8
32,No,Travel_Rarely,Research & Development,some_college,Life Sciences,low,very_high,one,Research Scientist,meduim,Divorced,3298,Yes,very_high,two,7,good,6,2,5
22,No,Non-Travel,Research & Development,some_college,Medical,very_high,very_high,one,Laboratory Technician,very_high,Divorced,2935,Yes,meduim,two,1,good,1,0,0
53,No,Travel_Rarely,Sales,masters_degree,Life Sciences,low,meduim,four,Manager,very_high,Married,15427,No,high,zero,31,better,25,8,7
38,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,very_high,Single,3944,Yes,high,zero,6,better,3,2,2
24,No,Non-Travel,Research & Development,some_college,Other,low,very_high,two,Manufacturing Director,high,Divorced,4011,No,very_high,one,5,good,4,2,3
36,Yes,Travel_Rarely,Sales,masters_degree,Life Sciences,high,meduim,one,Sales Representative,low,Single,3407,No,meduim,zero,10,better,5,3,3
34,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,low,high,three,Research Director,meduim,Single,11994,No,high,zero,13,better,12,6,11
21,No,Travel_Rarely,Research & Development,some_college,Life Sciences,high,high,one,Research Scientist,very_high,Single,1232,No,very_high,zero,0,better,0,0,0
34,Yes,Travel_Rarely,Research & Development,no_college,Medical,meduim,high,one,Research Scientist,low,Single,2960,No,high,zero,8,better,4,2,3
53,No,Travel_Rarely,Research & Development,bachelors_degree,Other,high,high,five,Manager,high,Divorced,19094,No,very_high,one,26,good,14,13,8
32,Yes,Travel_Frequently,Research & Development,no_college,Life Sciences,meduim,low,one,Research Scientist,low,Single,3919,Yes,meduim,zero,10,better,10,2,7
42,No,Travel_Rarely,Sales,masters_degree,Marketing,high,high,two,Sales Executive,meduim,Married,6825,No,very_high,one,10,better,9,7,2
44,No,Travel_Rarely,Research & Development,masters_degree,Medical,low,meduim,three,Healthcare Representative,very_high,Married,10248,No,very_high,one,24,better,22,6,17
46,No,Travel_Rarely,Sales,masters_degree,Marketing,meduim,high,five,Manager,low,Single,18947,No,very_high,zero,22,good,2,2,1
33,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,one,Laboratory Technician,very_high,Single,2496,No,very_high,zero,7,better,1,1,0
44,No,Travel_Rarely,Research & Development,masters_degree,Other,very_high,high,two,Healthcare Representative,very_high,Married,6465,Yes,very_high,zero,9,best,4,2,3
30,No,Travel_Rarely,Research & Development,some_college,Medical,very_high,meduim,one,Laboratory Technician,high,Single,2206,No,low,zero,10,better,10,0,8
39,Yes,Travel_Rarely,Sales,bachelors_degree,Technical Degree,very_high,high,two,Sales Representative,very_high,Married,2086,No,high,one,19,best,1,0,0
24,Yes,Travel_Rarely,Research & Development,bachelors_degree,Medical,meduim,high,one,Research Scientist,very_high,Married,2293,Yes,low,one,6,good,2,0,0
43,No,Travel_Rarely,Research & Development,some_college,Medical,very_high,very_high,one,Research Scientist,high,Divorced,2645,No,very_high,two,6,good,5,3,4
50,Yes,Travel_Rarely,Sales,some_college,Marketing,low,meduim,one,Sales Representative,high,Married,2683,Yes,high,zero,3,better,3,2,2
35,No,Travel_Rarely,Sales,bachelors_degree,Marketing,very_high,high,one,Sales Representative,very_high,Married,2014,No,low,zero,2,better,2,2,2
36,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,meduim,one,Research Scientist,low,Married,3419,Yes,very_high,one,6,best,1,1,0
33,No,Travel_Frequently,Sales,bachelors_degree,Life Sciences,high,very_high,two,Sales Executive,low,Married,5376,No,low,two,10,better,5,3,3
35,No,Travel_Rarely,Research & Development,some_college,Other,high,high,one,Laboratory Technician,very_high,Divorced,1951,No,high,one,1,better,1,0,0
27,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,high,one,Laboratory Technician,low,Divorced,2341,No,very_high,one,1,better,1,0,0
26,Yes,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,low,one,Laboratory Technician,high,Single,2293,No,high,zero,1,good,1,0,1
27,No,Travel_Frequently,Sales,bachelors_degree,Life Sciences,very_high,high,three,Sales Executive,high,Single,8726,No,very_high,zero,9,better,9,8,7
30,No,Travel_Frequently,Research & Development,some_college,Medical,high,high,two,Laboratory Technician,very_high,Single,4011,No,very_high,zero,12,better,12,8,7
41,Yes,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,meduim,high,five,Research Director,high,Married,19545,No,very_high,zero,23,better,22,15,8
34,No,Non-Travel,Sales,masters_degree,Marketing,meduim,high,two,Sales Executive,high,Single,4568,No,high,zero,10,better,9,5,7
37,No,Travel_Rarely,Research & Development,some_college,Life Sciences,meduim,high,one,Research Scientist,meduim,Married,3022,No,low,zero,8,better,1,0,0
46,No,Travel_Frequently,Sales,masters_degree,Marketing,low,high,two,Sales Executive,very_high,Single,5772,Yes,high,zero,14,better,9,6,8
35,No,Travel_Rarely,Research & Development,no_college,Life Sciences,very_high,very_high,one,Laboratory Technician,very_high,Married,2269,No,very_high,zero,1,better,1,0,1
48,Yes,Travel_Rarely,Research & Development,some_college,Life Sciences,low,meduim,three,Laboratory Technician,high,Single,5381,Yes,very_high,zero,23,better,1,0,0
28,Yes,Travel_Rarely,Research & Development,masters_degree,Technical Degree,high,high,one,Laboratory Technician,high,Single,3441,Yes,high,zero,2,good,2,2,2
44,No,Travel_Rarely,Sales,Doctorate,Marketing,meduim,high,two,Sales Executive,low,Divorced,5454,Yes,high,one,9,good,4,3,3
35,No,Non-Travel,Research & Development,some_college,Medical,high,meduim,three,Healthcare Representative,low,Married,9884,Yes,high,one,10,better,4,0,3
26,No,Travel_Rarely,Sales,bachelors_degree,Marketing,high,meduim,two,Sales Executive,very_high,Married,4157,Yes,high,one,5,good,2,2,0
33,No,Travel_Frequently,Research & Development,some_college,Life Sciences,low,high,three,Research Director,very_high,Single,13458,Yes,high,zero,15,better,15,14,12
35,No,Travel_Frequently,Sales,Doctorate,Life Sciences,meduim,high,three,Sales Executive,low,Married,9069,No,very_high,one,9,good,9,8,8
35,No,Travel_Rarely,Research & Development,masters_degree,Medical,high,high,one,Laboratory Technician,low,Married,4014,Yes,high,one,4,better,2,2,2
31,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,high,two,Laboratory Technician,very_high,Divorced,5915,No,very_high,one,10,good,7,7,7
37,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,low,meduim,two,Manufacturing Director,high,Divorced,5993,No,high,one,7,best,7,5,7
32,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,low,high,two,Manufacturing Director,very_high,Married,6162,Yes,meduim,one,9,better,9,8,8
38,No,Travel_Frequently,Research & Development,Doctorate,Life Sciences,very_high,high,two,Laboratory Technician,very_high,Single,2406,No,very_high,zero,10,better,10,3,9
50,No,Travel_Rarely,Research & Development,some_college,Medical,meduim,meduim,five,Research Director,high,Divorced,18740,Yes,very_high,one,29,good,27,3,8
59,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,low,high,three,Sales Executive,low,Single,7637,No,very_high,zero,28,good,21,16,9
36,No,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,high,high,three,Healthcare Representative,high,Divorced,10096,No,meduim,three,17,better,17,14,8
55,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,very_high,high,four,Manager,high,Divorced,14756,Yes,high,three,21,better,5,0,2
36,No,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,meduim,meduim,two,Manufacturing Director,meduim,Single,6499,No,high,zero,6,better,6,5,3
45,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,meduim,high,three,Research Scientist,low,Divorced,9724,No,high,one,25,better,1,0,0
35,No,Travel_Frequently,Research & Development,bachelors_degree,Medical,meduim,high,one,Research Scientist,low,Married,2194,No,very_high,one,5,good,3,2,2
36,Yes,Travel_Rarely,Research & Development,bachelors_degree,Medical,very_high,meduim,one,Research Scientist,high,Married,3388,Yes,low,one,2,good,1,0,0
59,No,Travel_Frequently,Sales,no_college,Life Sciences,low,meduim,two,Sales Executive,high,Single,5473,No,very_high,zero,20,good,4,3,3
29,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,one,Research Scientist,meduim,Married,2703,No,very_high,one,6,better,5,4,4
31,No,Travel_Rarely,Research & Development,masters_degree,Medical,high,high,one,Research Scientist,meduim,Single,2501,No,meduim,zero,1,better,1,1,0
32,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,meduim,high,two,Research Scientist,meduim,Married,6220,No,meduim,two,10,better,10,4,9
36,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,meduim,very_high,one,Laboratory Technician,very_high,Married,3038,No,meduim,zero,5,better,1,0,0
31,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,high,two,Manufacturing Director,very_high,Single,4424,No,very_high,zero,11,better,11,7,8
35,No,Travel_Rarely,Sales,masters_degree,Marketing,high,meduim,two,Sales Executive,low,Single,4312,No,meduim,zero,16,better,15,13,8
45,No,Travel_Rarely,Research & Development,masters_degree,Other,very_high,high,three,Research Director,low,Married,13245,Yes,meduim,zero,17,best,0,0,0
37,No,Travel_Rarely,Research & Development,masters_degree,Medical,low,high,three,Research Director,high,Single,13664,No,low,zero,16,best,5,2,2
46,No,Travel_Rarely,Human Resources,some_college,Medical,meduim,high,two,Human Resources,meduim,Divorced,5021,Yes,very_high,one,16,better,4,2,2
30,No,Travel_Rarely,Research & Development,no_college,Life Sciences,very_high,meduim,two,Laboratory Technician,very_high,Married,5126,Yes,high,two,10,good,10,8,0
35,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,meduim,meduim,one,Research Scientist,high,Single,2859,No,low,zero,6,better,6,4,4
55,No,Travel_Rarely,Sales,some_college,Life Sciences,low,high,three,Sales Executive,very_high,Married,10239,No,very_high,one,24,better,1,0,0
38,No,Non-Travel,Research & Development,bachelors_degree,Medical,meduim,low,two,Research Scientist,very_high,Divorced,5329,Yes,very_high,three,17,better,13,11,9
34,No,Travel_Rarely,Research & Development,some_college,Medical,low,high,two,Manufacturing Director,meduim,Married,4325,No,high,zero,5,better,5,2,3
56,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,low,three,Manufacturing Director,very_high,Single,7260,No,low,zero,37,good,6,4,2
23,No,Travel_Rarely,Sales,no_college,Technical Degree,high,high,one,Sales Representative,low,Divorced,2322,No,high,one,3,better,0,0,0
51,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,high,one,Laboratory Technician,very_high,Married,2075,No,meduim,two,10,better,4,2,3
30,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,meduim,two,Healthcare Representative,very_high,Married,4152,No,low,three,11,better,11,10,8
46,Yes,Travel_Rarely,Sales,some_college,Medical,high,meduim,three,Sales Executive,very_high,Single,9619,No,very_high,zero,9,better,9,8,7
40,No,Travel_Frequently,Research & Development,masters_degree,Life Sciences,high,meduim,four,Healthcare Representative,meduim,Married,13503,No,very_high,one,22,good,22,3,11
51,No,Travel_Rarely,Sales,masters_degree,Marketing,high,high,two,Sales Executive,very_high,Single,5441,Yes,very_high,zero,11,bad,10,7,0
30,No,Travel_Rarely,Sales,some_college,Medical,high,meduim,two,Sales Executive,meduim,Divorced,5209,Yes,meduim,three,11,good,11,8,7
46,No,Travel_Frequently,Research & Development,bachelors_degree,Medical,high,meduim,three,Healthcare Representative,low,Married,10673,Yes,high,one,21,good,10,9,5
32,No,Travel_Rarely,Sales,masters_degree,Medical,meduim,high,two,Sales Executive,high,Single,5010,No,low,zero,12,better,11,8,7
54,No,Travel_Rarely,Research & Development,masters_degree,Technical Degree,low,high,three,Research Director,high,Married,13549,No,low,one,16,bad,4,3,3
24,No,Travel_Rarely,Sales,some_college,Other,low,high,two,Sales Executive,high,Married,4999,No,low,one,4,good,3,2,2
28,No,Non-Travel,Sales,bachelors_degree,Medical,meduim,high,two,Sales Executive,high,Married,4221,No,meduim,zero,5,best,5,4,4
58,No,Travel_Rarely,Sales,masters_degree,Medical,very_high,high,four,Sales Executive,high,Single,13872,No,high,zero,38,good,37,10,8
44,No,Non-Travel,Research & Development,bachelors_degree,Medical,meduim,high,two,Laboratory Technician,meduim,Married,2042,No,high,one,17,best,3,2,2
37,Yes,Travel_Rarely,Human Resources,masters_degree,Human Resources,high,high,one,Human Resources,low,Divorced,2073,Yes,very_high,zero,7,better,3,2,2
32,No,Travel_Rarely,Research & Development,no_college,Life Sciences,very_high,high,one,Research Scientist,low,Single,2956,No,very_high,zero,1,better,1,0,0
20,Yes,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,very_high,meduim,one,Laboratory Technician,very_high,Single,2926,Yes,meduim,zero,1,better,1,0,0
34,No,Travel_Rarely,Research & Development,masters_degree,Other,low,high,two,Research Scientist,high,Single,4809,No,high,zero,16,better,16,13,10
37,No,Non-Travel,Research & Development,some_college,Life Sciences,high,meduim,two,Healthcare Representative,very_high,Divorced,5163,No,very_high,one,17,best,1,0,0
59,No,Non-Travel,Human Resources,masters_degree,Human Resources,high,meduim,five,Manager,very_high,Married,18844,No,very_high,one,30,better,3,2,2
50,No,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,low,high,five,Research Director,meduim,Married,18172,Yes,low,zero,28,good,8,3,7
25,Yes,Travel_Rarely,Sales,bachelors_degree,Marketing,high,meduim,two,Sales Executive,high,Single,5744,Yes,very_high,zero,6,better,6,4,3
25,No,Travel_Rarely,Research & Development,no_college,Medical,very_high,meduim,one,Research Scientist,very_high,Married,2889,No,high,two,2,better,2,2,1
22,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,meduim,high,one,Laboratory Technician,very_high,Single,2871,No,high,zero,1,better,0,0,0
51,No,Travel_Frequently,Research & Development,masters_degree,Medical,low,meduim,three,Healthcare Representative,low,Single,7484,No,high,zero,23,good,13,12,8
34,Yes,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,low,low,two,Laboratory Technician,high,Single,6074,Yes,very_high,zero,9,better,9,7,6
54,No,Non-Travel,Human Resources,bachelors_degree,Human Resources,very_high,very_high,four,Manager,very_high,Single,17328,Yes,high,zero,23,better,5,3,4
24,No,Travel_Rarely,Research & Development,no_college,Life Sciences,meduim,high,one,Laboratory Technician,high,Married,2774,No,high,one,6,better,5,3,2
34,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,meduim,two,Research Scientist,meduim,Divorced,4505,No,high,one,12,better,1,0,0
37,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,high,high,three,Sales Executive,very_high,Single,7428,No,low,zero,12,better,5,3,3
34,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,meduim,three,Manager,low,Single,11631,No,very_high,zero,14,better,11,10,8
36,No,Travel_Frequently,Sales,some_college,Technical Degree,meduim,high,three,Sales Executive,very_high,Married,9738,No,high,one,10,better,9,7,8
36,No,Travel_Rarely,Research & Development,some_college,Life Sciences,low,high,one,Laboratory Technician,very_high,Divorced,2835,No,low,one,7,better,1,0,0
43,No,Travel_Frequently,Sales,some_college,Life Sciences,high,high,four,Manager,very_high,Married,16959,Yes,very_high,two,25,best,25,12,12
30,No,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,low,low,one,Research Scientist,high,Divorced,2613,No,high,three,10,good,10,7,9
33,No,Non-Travel,Sales,some_college,Marketing,high,high,two,Sales Executive,meduim,Married,6146,No,low,one,8,best,7,7,7
56,Yes,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,high,one,Research Scientist,meduim,Married,4963,Yes,low,three,7,better,5,4,3
51,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,high,five,Research Director,high,Single,19537,No,high,zero,23,better,20,18,15
31,Yes,Travel_Rarely,Sales,masters_degree,Life Sciences,meduim,low,two,Sales Executive,high,Married,6172,Yes,meduim,zero,12,good,7,7,7
26,No,Travel_Rarely,Research & Development,bachelors_degree,Other,high,meduim,one,Research Scientist,meduim,Married,2368,No,high,zero,5,good,5,4,3
58,Yes,Travel_Rarely,Research & Development,masters_degree,Medical,very_high,high,three,Healthcare Representative,very_high,Married,10312,No,very_high,one,40,good,40,10,6
19,Yes,Travel_Rarely,Sales,no_college,Marketing,very_high,high,one,Sales Representative,high,Single,1675,Yes,very_high,zero,0,good,0,0,0
22,No,Travel_Rarely,Research & Development,no_college,Technical Degree,high,high,one,Laboratory Technician,very_high,Married,2523,No,high,one,3,better,2,1,1
49,No,Travel_Rarely,Research & Development,masters_degree,Medical,high,high,two,Manufacturing Director,low,Married,6567,No,high,zero,16,good,15,11,11
43,No,Travel_Frequently,Research & Development,bachelors_degree,Medical,meduim,very_high,one,Research Scientist,high,Single,4739,No,very_high,zero,18,better,3,2,2
50,No,Travel_Frequently,Sales,bachelors_degree,Marketing,high,high,three,Sales Executive,very_high,Single,9208,No,very_high,zero,16,better,2,2,1
31,Yes,Travel_Rarely,Sales,bachelors_degree,Life Sciences,meduim,low,two,Sales Executive,high,Married,4559,Yes,high,one,4,better,2,2,2
41,No,Travel_Rarely,Sales,no_college,Life Sciences,high,high,three,Sales Executive,high,Divorced,8189,Yes,high,one,12,better,9,7,7
26,No,Travel_Rarely,Human Resources,no_college,Life Sciences,high,high,one,Human Resources,high,Married,2942,No,very_high,one,8,better,8,7,7
36,No,Travel_Rarely,Research & Development,some_college,Medical,meduim,high,two,Manufacturing Director,meduim,Divorced,4941,No,very_high,two,7,better,3,2,1
51,Yes,Travel_Frequently,Research & Development,masters_degree,Life Sciences,low,low,three,Manufacturing Director,very_high,Single,10650,No,very_high,zero,18,better,4,2,3
39,No,Travel_Rarely,Sales,masters_degree,Life Sciences,very_high,meduim,two,Sales Executive,high,Married,5902,No,high,one,17,best,15,11,9
25,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,low,meduim,two,Sales Executive,high,Married,8639,No,very_high,zero,6,better,2,2,2
30,No,Travel_Rarely,Human Resources,bachelors_degree,Human Resources,high,high,two,Human Resources,very_high,Married,6347,Yes,very_high,zero,12,bad,11,9,7
32,Yes,Travel_Rarely,Research & Development,bachelors_degree,Medical,low,high,one,Laboratory Technician,low,Single,4200,No,low,zero,10,best,5,4,4
45,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,one,Research Scientist,very_high,Single,3452,No,meduim,zero,9,good,6,5,3
38,No,Travel_Rarely,Research & Development,Doctorate,Technical Degree,very_high,high,two,Research Scientist,high,Single,4317,Yes,meduim,zero,19,better,3,2,2
30,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,high,one,Research Scientist,high,Single,2632,No,high,zero,5,good,5,4,4
32,No,Travel_Frequently,Sales,some_college,Medical,very_high,low,two,Sales Executive,very_high,Divorced,4668,No,very_high,three,9,best,8,7,7
30,No,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,very_high,high,one,Research Scientist,low,Divorced,3204,No,very_high,one,8,better,3,2,2
30,No,Travel_Rarely,Research & Development,no_college,Medical,meduim,meduim,one,Laboratory Technician,very_high,Single,2720,No,very_high,zero,6,better,5,3,2
41,No,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,very_high,meduim,four,Manager,low,Divorced,17181,No,meduim,one,21,good,7,6,7
41,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,high,one,Laboratory Technician,low,Married,2238,No,very_high,one,7,better,5,0,4
19,No,Travel_Rarely,Research & Development,no_college,Medical,meduim,high,one,Laboratory Technician,meduim,Single,1483,No,very_high,zero,1,better,1,0,0
40,No,Travel_Frequently,Research & Development,bachelors_degree,Medical,meduim,high,two,Research Scientist,meduim,Divorced,5605,No,low,one,20,better,20,7,13
35,No,Travel_Rarely,Sales,Doctorate,Marketing,high,high,three,Sales Executive,meduim,Married,7295,No,low,two,10,better,10,8,6
53,No,Travel_Rarely,Sales,some_college,Marketing,meduim,high,two,Sales Representative,high,Married,2306,Yes,very_high,one,13,bad,7,7,5
45,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,meduim,high,two,Laboratory Technician,meduim,Divorced,2348,No,high,one,20,bad,17,9,15
32,No,Travel_Frequently,Sales,bachelors_degree,Marketing,meduim,high,three,Sales Executive,very_high,Single,8998,No,very_high,zero,9,better,9,8,7
29,No,Non-Travel,Research & Development,no_college,Technical Degree,very_high,high,two,Manufacturing Director,high,Married,4319,No,low,one,10,better,10,7,9
51,No,Travel_Rarely,Research & Development,masters_degree,Medical,meduim,meduim,two,Manufacturing Director,high,Married,6132,No,high,zero,10,better,1,0,0
58,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,meduim,meduim,one,Research Scientist,meduim,Married,3346,Yes,meduim,one,9,good,1,0,0
40,No,Travel_Rarely,Sales,masters_degree,Marketing,high,meduim,three,Sales Executive,very_high,Married,10855,No,low,one,15,good,12,11,11
34,No,Travel_Frequently,Sales,masters_degree,Marketing,high,high,one,Sales Representative,high,Married,2231,No,very_high,one,6,better,4,3,2
22,No,Travel_Rarely,Research & Development,no_college,Medical,high,high,one,Research Scientist,very_high,Married,2323,No,low,two,2,better,2,2,2
27,No,Non-Travel,Research & Development,bachelors_degree,Medical,very_high,high,one,Research Scientist,meduim,Divorced,2024,No,very_high,one,6,bad,2,2,2
28,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,one,Research Scientist,very_high,Married,2713,No,high,one,5,bad,5,2,2
57,No,Travel_Rarely,Research & Development,some_college,Life Sciences,high,very_high,three,Healthcare Representative,very_high,Divorced,9439,Yes,meduim,one,12,bad,5,3,4
27,No,Non-Travel,Research & Development,bachelors_degree,Medical,high,meduim,one,Research Scientist,high,Divorced,2566,Yes,very_high,one,1,good,1,1,1
50,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,five,Manager,meduim,Single,19926,No,meduim,zero,21,better,5,4,4
41,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,high,one,Research Scientist,high,Divorced,2451,No,low,one,13,better,9,8,8
30,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,meduim,high,three,Sales Executive,very_high,Married,9419,No,high,one,12,better,10,9,4
38,No,Travel_Rarely,Sales,masters_degree,Life Sciences,low,meduim,two,Sales Executive,very_high,Single,8686,No,high,zero,12,best,8,3,7
32,No,Travel_Rarely,Research & Development,Doctorate,Life Sciences,high,high,one,Research Scientist,high,Single,3038,No,low,zero,8,better,5,4,4
27,No,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,high,high,one,Research Scientist,meduim,Married,3058,Yes,very_high,one,6,good,5,2,1
19,Yes,Travel_Frequently,Sales,no_college,Technical Degree,high,low,one,Sales Representative,low,Single,2325,No,low,zero,1,best,0,0,0
36,No,Travel_Frequently,Research & Development,some_college,Medical,very_high,high,one,Laboratory Technician,meduim,Single,2088,No,high,zero,13,good,8,7,2
30,No,Non-Travel,Research & Development,bachelors_degree,Medical,high,high,two,Laboratory Technician,low,Divorced,3072,No,high,two,12,better,12,9,10
45,No,Travel_Rarely,Sales,some_college,Life Sciences,high,high,two,Sales Executive,low,Divorced,5006,Yes,low,one,9,best,5,4,3
56,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,one,Research Scientist,low,Divorced,4257,Yes,high,one,19,better,2,2,2
33,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,one,Research Scientist,very_high,Single,2500,No,low,zero,4,best,3,1,2
19,Yes,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,meduim,meduim,one,Laboratory Technician,very_high,Single,1102,No,high,zero,1,good,1,0,0
46,No,Travel_Rarely,Sales,some_college,Marketing,meduim,high,three,Sales Executive,low,Divorced,10453,No,high,three,24,better,24,13,7
38,No,Travel_Rarely,Research & Development,some_college,Life Sciences,high,high,one,Laboratory Technician,very_high,Single,2288,No,high,zero,2,better,2,2,1
31,No,Travel_Rarely,Research & Development,no_college,Medical,high,high,one,Research Scientist,very_high,Married,3929,Yes,high,one,7,better,4,2,2
34,No,Travel_Rarely,Research & Development,some_college,Medical,very_high,high,one,Research Scientist,meduim,Single,2311,No,very_high,zero,9,better,3,2,2
41,Yes,Travel_Rarely,Sales,some_college,Marketing,meduim,high,one,Sales Representative,meduim,Single,3140,Yes,very_high,zero,4,good,4,3,2
50,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,meduim,one,Laboratory Technician,high,Married,3690,No,very_high,one,5,good,3,2,2
53,No,Travel_Rarely,Research & Development,some_college,Medical,very_high,very_high,two,Manufacturing Director,low,Divorced,4450,No,high,two,5,better,4,2,3
33,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,very_high,high,one,Research Scientist,meduim,Married,2756,No,very_high,one,8,better,8,7,6
40,No,Travel_Rarely,Research & Development,no_college,Medical,very_high,high,five,Manager,high,Married,19033,No,meduim,one,21,better,20,8,9
