Age,Attrition,BusinessTravel,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsAtCompany
28,No,Non-Travel,bachelors_degree,Medical,meduim,high,two,Sales Executive,high,4221,No,meduim,zero,best,5
44,No,Non-Travel,bachelors_degree,Medical,meduim,high,two,Laboratory Technician,meduim,2042,No,high,one,best,3
37,Yes,Travel_Rarely,masters_degree,Human Resources,high,high,one,Human Resources,low,2073,Yes,very_high,zero,better,3
32,No,Travel_Rarely,no_college,Life Sciences,very_high,high,one,Research Scientist,low,2956,No,very_high,zero,better,1
20,Yes,Travel_Frequently,bachelors_degree,Life Sciences,very_high,meduim,one,Laboratory Technician,very_high,2926,Yes,meduim,zero,better,1
34,No,Travel_Rarely,masters_degree,Other,low,high,two,Research Scientist,high,4809,No,high,zero,better,16
37,No,Non-Travel,some_college,Life Sciences,high,meduim,two,Healthcare Representative,very_high,5163,No,very_high,one,best,1
59,No,Non-Travel,masters_degree,Human Resources,high,meduim,five,Manager,very_high,18844,No,very_high,one,better,3
50,No,Travel_Frequently,bachelors_degree,Life Sciences,low,high,five,Research Director,meduim,18172,Yes,low,zero,good,8
25,Yes,Travel_Rarely,bachelors_degree,Marketing,high,meduim,two,Sales Executive,high,5744,Yes,very_high,zero,better,6
25,No,Travel_Rarely,no_college,Medical,very_high,meduim,one,Research Scientist,very_high,2889,No,high,two,better,2
22,No,Travel_Rarely,bachelors_degree,Medical,meduim,high,one,Laboratory Technician,very_high,2871,No,high,zero,better,0
51,No,Travel_Frequently,masters_degree,Medical,low,meduim,three,Healthcare Representative,low,7484,No,high,zero,good,13
34,Yes,Travel_Frequently,bachelors_degree,Life Sciences,low,low,two,Laboratory Technician,high,6074,Yes,very_high,zero,better,9
54,No,Non-Travel,bachelors_degree,Human Resources,very_high,very_high,four,Manager,very_high,17328,Yes,high,zero,better,5
24,No,Travel_Rarely,no_college,Life Sciences,meduim,high,one,Laboratory Technician,high,2774,No,high,one,better,5
34,No,Travel_Rarely,masters_degree,Life Sciences,high,meduim,two,Research Scientist,meduim,4505,No,high,one,better,1
37,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,three,Sales Executive,very_high,7428,No,low,zero,better,5
34,No,Travel_Rarely,bachelors_degree,Medical,high,meduim,three,Manager,low,11631,No,very_high,zero,better,11
36,No,Travel_Frequently,some_college,Technical Degree,meduim,high,three,Sales Executive,very_high,9738,No,high,one,better,9
36,No,Travel_Rarely,some_college,Life Sciences,low,high,one,Laboratory Technician,very_high,2835,No,low,one,better,1
43,No,Travel_Frequently,some_college,Life Sciences,high,high,four,Manager,very_high,16959,Yes,very_high,two,best,25
30,No,Travel_Frequently,bachelors_degree,Life Sciences,low,low,one,Research Scientist,high,2613,No,high,three,good,10
33,No,Non-Travel,some_college,Marketing,high,high,two,Sales Executive,meduim,6146,No,low,one,best,7
56,Yes,Travel_Rarely,masters_degree,Life Sciences,meduim,high,one,Research Scientist,meduim,4963,Yes,low,three,better,5
51,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,five,Research Director,high,19537,No,high,zero,better,20
31,Yes,Travel_Rarely,masters_degree,Life Sciences,meduim,low,two,Sales Executive,high,6172,Yes,meduim,zero,good,7
26,No,Travel_Rarely,bachelors_degree,Other,high,meduim,one,Research Scientist,meduim,2368,No,high,zero,good,5
19,Yes,Travel_Rarely,no_college,Marketing,very_high,high,one,Sales Representative,high,1675,Yes,very_high,zero,good,0
22,No,Travel_Rarely,no_college,Technical Degree,high,high,one,Laboratory Technician,very_high,2523,No,high,one,better,2
49,No,Travel_Rarely,masters_degree,Medical,high,high,two,Manufacturing Director,low,6567,No,high,zero,good,15
43,No,Travel_Frequently,bachelors_degree,Medical,meduim,very_high,one,Research Scientist,high,4739,No,very_high,zero,better,3
50,No,Travel_Frequently,bachelors_degree,Marketing,high,high,three,Sales Executive,very_high,9208,No,very_high,zero,better,2
31,Yes,Travel_Rarely,bachelors_degree,Life Sciences,meduim,low,two,Sales Executive,high,4559,Yes,high,one,better,2
41,No,Travel_Rarely,no_college,Life Sciences,high,high,three,Sales Executive,high,8189,Yes,high,one,better,9
26,No,Travel_Rarely,no_college,Life Sciences,high,high,one,Human Resources,high,2942,No,very_high,one,better,8
36,No,Travel_Rarely,some_college,Medical,meduim,high,two,Manufacturing Director,meduim,4941,No,very_high,two,better,3
51,Yes,Travel_Frequently,masters_degree,Life Sciences,low,low,three,Manufacturing Director,very_high,10650,No,very_high,zero,better,4
39,No,Travel_Rarely,masters_degree,Life Sciences,very_high,meduim,two,Sales Executive,high,5902,No,high,one,best,15
25,No,Travel_Rarely,bachelors_degree,Life Sciences,low,meduim,two,Sales Executive,high,8639,No,very_high,zero,better,2
30,No,Travel_Rarely,bachelors_degree,Human Resources,high,high,two,Human Resources,very_high,6347,Yes,very_high,zero,bad,11
32,Yes,Travel_Rarely,bachelors_degree,Medical,low,high,one,Laboratory Technician,low,4200,No,low,zero,best,5
45,No,Travel_Rarely,bachelors_degree,Medical,high,high,one,Research Scientist,very_high,3452,No,meduim,zero,good,6
38,No,Travel_Rarely,Doctorate,Technical Degree,very_high,high,two,Research Scientist,high,4317,Yes,meduim,zero,better,3
30,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,one,Research Scientist,high,2632,No,high,zero,good,5
32,No,Travel_Frequently,some_college,Medical,very_high,low,two,Sales Executive,very_high,4668,No,very_high,three,best,8
30,No,Travel_Rarely,bachelors_degree,Technical Degree,very_high,high,one,Research Scientist,low,3204,No,very_high,one,better,3
30,No,Travel_Rarely,no_college,Medical,meduim,meduim,one,Laboratory Technician,very_high,2720,No,very_high,zero,better,5
41,No,Travel_Frequently,bachelors_degree,Life Sciences,very_high,meduim,four,Manager,low,17181,No,meduim,one,good,7
41,No,Travel_Rarely,masters_degree,Life Sciences,high,high,one,Laboratory Technician,low,2238,No,very_high,one,better,5
19,No,Travel_Rarely,no_college,Medical,meduim,high,one,Laboratory Technician,meduim,1483,No,very_high,zero,better,1
40,No,Travel_Frequently,bachelors_degree,Medical,meduim,high,two,Research Scientist,meduim,5605,No,low,one,better,20
35,No,Travel_Rarely,Doctorate,Marketing,high,high,three,Sales Executive,meduim,7295,No,low,two,better,10
53,No,Travel_Rarely,some_college,Marketing,meduim,high,two,Sales Representative,high,2306,Yes,very_high,one,bad,7
45,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,high,two,Laboratory Technician,meduim,2348,No,high,one,bad,17
32,No,Travel_Frequently,bachelors_degree,Marketing,meduim,high,three,Sales Executive,very_high,8998,No,very_high,zero,better,9
29,No,Non-Travel,no_college,Technical Degree,very_high,high,two,Manufacturing Director,high,4319,No,low,one,better,10
51,No,Travel_Rarely,masters_degree,Medical,meduim,meduim,two,Manufacturing Director,high,6132,No,high,zero,better,1
58,No,Travel_Rarely,bachelors_degree,Medical,meduim,meduim,one,Research Scientist,meduim,3346,Yes,meduim,one,good,1
40,No,Travel_Rarely,masters_degree,Marketing,high,meduim,three,Sales Executive,very_high,10855,No,low,one,good,12
34,No,Travel_Frequently,masters_degree,Marketing,high,high,one,Sales Representative,high,2231,No,very_high,one,better,4
22,No,Travel_Rarely,no_college,Medical,high,high,one,Research Scientist,very_high,2323,No,low,two,better,2
27,No,Non-Travel,bachelors_degree,Medical,very_high,high,one,Research Scientist,meduim,2024,No,very_high,one,bad,2
28,No,Travel_Rarely,bachelors_degree,Medical,high,high,one,Research Scientist,very_high,2713,No,high,one,bad,5
57,No,Travel_Rarely,some_college,Life Sciences,high,very_high,three,Healthcare Representative,very_high,9439,Yes,meduim,one,bad,5
27,No,Non-Travel,bachelors_degree,Medical,high,meduim,one,Research Scientist,high,2566,Yes,very_high,one,good,1
50,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,five,Manager,meduim,19926,No,meduim,zero,better,5
41,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,one,Research Scientist,high,2451,No,low,one,better,9
30,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,high,three,Sales Executive,very_high,9419,No,high,one,better,10
38,No,Travel_Rarely,masters_degree,Life Sciences,low,meduim,two,Sales Executive,very_high,8686,No,high,zero,best,8
32,No,Travel_Rarely,Doctorate,Life Sciences,high,high,one,Research Scientist,high,3038,No,low,zero,better,5
27,No,Travel_Rarely,bachelors_degree,Technical Degree,high,high,one,Research Scientist,meduim,3058,Yes,very_high,one,good,5
19,Yes,Travel_Frequently,no_college,Technical Degree,high,low,one,Sales Representative,low,2325,No,low,zero,best,0
36,No,Travel_Frequently,some_college,Medical,very_high,high,one,Laboratory Technician,meduim,2088,No,high,zero,good,8
30,No,Non-Travel,bachelors_degree,Medical,high,high,two,Laboratory Technician,low,3072,No,high,two,better,12
45,No,Travel_Rarely,some_college,Life Sciences,high,high,two,Sales Executive,low,5006,Yes,low,one,best,5
56,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Research Scientist,low,4257,Yes,high,one,better,2
33,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Research Scientist,very_high,2500,No,low,zero,best,3
19,Yes,Travel_Rarely,bachelors_degree,Life Sciences,meduim,meduim,one,Laboratory Technician,very_high,1102,No,high,zero,good,1
46,No,Travel_Rarely,some_college,Marketing,meduim,high,three,Sales Executive,low,10453,No,high,three,better,24
38,No,Travel_Rarely,some_college,Life Sciences,high,high,one,Laboratory Technician,very_high,2288,No,high,zero,better,2
31,No,Travel_Rarely,no_college,Medical,high,high,one,Research Scientist,very_high,3929,Yes,high,one,better,4
34,No,Travel_Rarely,some_college,Medical,very_high,high,one,Research Scientist,meduim,2311,No,very_high,zero,better,3
41,Yes,Travel_Rarely,some_college,Marketing,meduim,high,one,Sales Representative,meduim,3140,Yes,very_high,zero,good,4
50,No,Travel_Rarely,bachelors_degree,Medical,high,meduim,one,Laboratory Technician,high,3690,No,very_high,one,good,3
53,No,Travel_Rarely,some_college,Medical,very_high,very_high,two,Manufacturing Director,low,4450,No,high,two,better,4
33,No,Travel_Rarely,bachelors_degree,Medical,very_high,high,one,Research Scientist,meduim,2756,No,very_high,one,better,8
40,No,Travel_Rarely,no_college,Medical,very_high,high,five,Manager,high,19033,No,meduim,one,better,20
55,No,Travel_Rarely,masters_degree,Medical,high,very_high,five,Research Director,meduim,18722,No,very_high,zero,better,24
34,No,Travel_Frequently,no_college,Life Sciences,very_high,meduim,two,Manufacturing Director,high,9547,No,high,zero,good,10
51,No,Travel_Rarely,bachelors_degree,Medical,very_high,high,four,Healthcare Representative,meduim,13734,No,high,zero,better,7
27,No,Travel_Rarely,bachelors_degree,Medical,very_high,high,one,Research Scientist,meduim,2279,No,very_high,zero,good,7
35,Yes,Travel_Rarely,some_college,Life Sciences,meduim,meduim,two,Manufacturing Director,high,5916,Yes,low,zero,better,1
43,No,Non-Travel,bachelors_degree,Medical,very_high,very_high,one,Research Scientist,very_high,2089,No,very_high,three,best,5
45,No,Non-Travel,some_college,Medical,low,meduim,four,Manager,very_high,16792,No,very_high,one,better,20
37,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,very_high,one,Research Scientist,low,3564,Yes,low,one,good,8
35,No,Travel_Frequently,bachelors_degree,Medical,meduim,high,two,Laboratory Technician,meduim,4425,No,very_high,zero,better,6
42,No,Non-Travel,some_college,Medical,high,high,two,Manufacturing Director,high,5265,No,meduim,one,better,5
38,No,Travel_Rarely,masters_degree,Life Sciences,very_high,high,two,Manufacturing Director,high,6553,No,meduim,zero,better,1
38,No,Travel_Rarely,bachelors_degree,Technical Degree,very_high,high,two,Manufacturing Director,very_high,6261,No,low,one,bad,7
27,No,Travel_Frequently,no_college,Technical Degree,high,meduim,two,Manufacturing Director,low,4298,No,high,one,better,2
49,No,Non-Travel,masters_degree,Life Sciences,very_high,high,two,Manufacturing Director,very_high,6804,Yes,low,two,better,7
34,No,Travel_Frequently,masters_degree,Medical,very_high,high,one,Research Scientist,high,3815,Yes,very_high,one,best,5
40,No,Travel_Rarely,some_college,Medical,high,high,two,Laboratory Technician,very_high,2741,Yes,high,one,best,7
38,Yes,Travel_Rarely,no_college,Medical,meduim,high,two,Healthcare Representative,low,6673,Yes,meduim,zero,better,1
29,Yes,Travel_Rarely,bachelors_degree,Marketing,meduim,high,three,Sales Executive,very_high,7639,No,very_high,three,good,10
22,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,very_high,one,Research Scientist,meduim,2328,Yes,low,one,good,4
36,No,Travel_Frequently,no_college,Medical,meduim,high,one,Laboratory Technician,very_high,2153,No,low,zero,better,8
40,No,Non-Travel,Doctorate,Life Sciences,very_high,meduim,two,Healthcare Representative,very_high,4876,No,very_high,one,bad,3
46,No,Travel_Rarely,masters_degree,Medical,very_high,high,three,Healthcare Representative,low,9396,No,high,one,better,4
32,Yes,Travel_Rarely,masters_degree,Medical,very_high,low,three,Sales Executive,very_high,10400,No,high,zero,good,14
30,No,Non-Travel,no_college,Life Sciences,high,meduim,three,Manufacturing Director,high,8474,No,high,zero,better,11
27,No,Travel_Frequently,bachelors_degree,Life Sciences,very_high,high,two,Sales Executive,high,9981,No,very_high,zero,better,7
51,No,Travel_Rarely,masters_degree,Life Sciences,meduim,meduim,three,Research Director,meduim,12490,No,very_high,two,bad,10
30,Yes,Travel_Rarely,bachelors_degree,Technical Degree,very_high,high,one,Research Scientist,low,2657,Yes,high,zero,better,5
41,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,three,Manager,very_high,13591,Yes,high,zero,better,1
30,Yes,Travel_Frequently,masters_degree,Marketing,high,meduim,two,Sales Executive,low,6696,No,high,zero,good,6
29,Yes,Travel_Rarely,bachelors_degree,Technical Degree,high,high,one,Research Scientist,high,2058,No,very_high,zero,good,6
45,No,Non-Travel,bachelors_degree,Medical,very_high,meduim,three,Sales Executive,very_high,8865,No,very_high,zero,better,19
54,No,Travel_Rarely,bachelors_degree,Marketing,very_high,high,two,Sales Executive,low,5940,No,very_high,one,better,6
36,No,Travel_Rarely,some_college,Life Sciences,very_high,high,two,Laboratory Technician,meduim,5914,No,very_high,zero,best,13
33,No,Travel_Rarely,masters_degree,Medical,high,meduim,one,Research Scientist,meduim,2622,No,very_high,zero,better,3
37,No,Travel_Frequently,bachelors_degree,Other,meduim,high,three,Research Director,very_high,12185,Yes,high,three,better,10
38,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,three,Sales Executive,high,10609,No,high,two,good,16
31,No,Non-Travel,masters_degree,Medical,high,low,two,Manufacturing Director,high,4345,No,very_high,one,better,5
59,No,Travel_Rarely,bachelors_degree,Life Sciences,high,meduim,one,Research Scientist,very_high,2177,No,low,one,better,1
37,No,Travel_Frequently,masters_degree,Marketing,low,high,one,Sales Representative,very_high,2793,No,high,one,better,9
29,No,Travel_Frequently,no_college,Medical,meduim,high,three,Sales Executive,very_high,7918,No,very_high,one,better,11
35,No,Travel_Frequently,bachelors_degree,Marketing,high,high,three,Sales Executive,high,8789,No,low,zero,best,10
29,Yes,Travel_Rarely,no_college,Medical,high,meduim,one,Research Scientist,very_high,2389,Yes,high,zero,good,4
52,No,Travel_Rarely,bachelors_degree,Life Sciences,high,meduim,one,Laboratory Technician,very_high,3212,No,meduim,zero,good,2
42,No,Travel_Rarely,some_college,Technical Degree,high,high,five,Manager,very_high,19232,No,very_high,zero,better,22
59,No,Travel_Rarely,some_college,Medical,meduim,high,one,Human Resources,high,2267,No,very_high,zero,good,2
50,No,Travel_Rarely,masters_degree,Medical,very_high,high,five,Manager,very_high,19517,No,high,one,good,7
33,Yes,Travel_Rarely,bachelors_degree,Medical,high,high,one,Laboratory Technician,very_high,2436,Yes,high,one,bad,5
43,No,Travel_Rarely,bachelors_degree,Marketing,very_high,high,four,Manager,very_high,16064,Yes,high,one,better,17
33,Yes,Travel_Rarely,some_college,Life Sciences,low,high,one,Laboratory Technician,low,2707,No,low,zero,best,9
32,No,Travel_Rarely,some_college,Life Sciences,high,high,one,Sales Representative,meduim,3931,No,low,one,better,4
32,Yes,Travel_Rarely,bachelors_degree,Life Sciences,very_high,meduim,one,Laboratory Technician,high,3730,Yes,very_high,zero,bad,3
39,No,Travel_Rarely,masters_degree,Medical,high,high,one,Laboratory Technician,high,2232,No,high,three,better,3
