Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,Yes,Travel_Rarely,1218,Sales,9,masters_degree,Life Sciences,high,Male,82,meduim,one,Sales Representative,low,Single,3407,6986,7,No,23,Outstanding,meduim,zero,10,4,better,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,masters_degree,Life Sciences,low,Female,53,high,three,Research Director,meduim,Single,11994,21293,0,No,11,Excellent,high,zero,13,4,better,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,some_college,Life Sciences,high,Male,96,high,one,Research Scientist,very_high,Single,1232,19281,1,No,14,Excellent,very_high,zero,0,6,better,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,no_college,Medical,meduim,Male,83,high,one,Research Scientist,low,Single,2960,17102,2,No,11,Excellent,high,zero,8,2,better,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,bachelors_degree,Other,high,Female,58,high,five,Manager,high,Divorced,19094,10735,4,No,11,Excellent,very_high,one,26,3,good,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,no_college,Life Sciences,meduim,Female,72,low,one,Research Scientist,low,Single,3919,4681,1,Yes,22,Outstanding,meduim,zero,10,5,better,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,masters_degree,Marketing,high,Male,48,high,two,Sales Executive,meduim,Married,6825,21173,0,No,11,Excellent,very_high,one,10,2,better,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,masters_degree,Medical,low,Female,42,meduim,three,Healthcare Representative,very_high,Married,10248,2094,3,No,14,Excellent,very_high,one,24,4,better,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,masters_degree,Marketing,meduim,Female,83,high,five,Manager,low,Single,18947,22822,3,No,12,Excellent,very_high,zero,22,2,good,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,bachelors_degree,Medical,high,Male,78,high,one,Laboratory Technician,very_high,Single,2496,6670,4,No,11,Excellent,very_high,zero,7,3,better,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,masters_degree,Other,very_high,Male,41,high,two,Healthcare Representative,very_high,Married,6465,19121,2,Yes,13,Excellent,very_high,zero,9,5,best,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,some_college,Medical,very_high,Male,83,meduim,one,Laboratory Technician,high,Single,2206,16117,1,No,13,Excellent,low,zero,10,5,better,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,bachelors_degree,Technical Degree,very_high,Male,56,high,two,Sales Representative,very_high,Married,2086,3335,3,No,14,Excellent,high,one,19,6,best,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,bachelors_degree,Medical,meduim,Male,61,high,one,Research Scientist,very_high,Married,2293,3020,2,Yes,16,Excellent,low,one,6,2,good,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,some_college,Medical,very_high,Female,72,very_high,one,Research Scientist,high,Divorced,2645,21923,1,No,12,Excellent,very_high,two,6,3,good,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,some_college,Marketing,low,Male,86,meduim,one,Sales Representative,high,Married,2683,3810,1,Yes,14,Excellent,high,zero,3,2,better,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,bachelors_degree,Marketing,very_high,Female,97,high,one,Sales Representative,very_high,Married,2014,9687,1,No,13,Excellent,low,zero,2,3,better,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,masters_degree,Life Sciences,meduim,Female,82,meduim,one,Research Scientist,low,Married,3419,13072,9,Yes,14,Excellent,very_high,one,6,3,best,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,bachelors_degree,Life Sciences,high,Female,42,very_high,two,Sales Executive,low,Married,5376,3193,2,No,19,Excellent,low,two,10,3,better,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,some_college,Other,high,Male,75,high,one,Laboratory Technician,very_high,Divorced,1951,10910,1,No,12,Excellent,high,one,1,3,better,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,masters_degree,Life Sciences,very_high,Female,33,high,one,Laboratory Technician,low,Divorced,2341,19715,1,No,13,Excellent,very_high,one,1,6,better,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,bachelors_degree,Life Sciences,low,Male,48,low,one,Laboratory Technician,high,Single,2293,10558,1,No,12,Excellent,high,zero,1,2,good,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,bachelors_degree,Life Sciences,very_high,Male,37,high,three,Sales Executive,high,Single,8726,2975,1,No,15,Excellent,very_high,zero,9,0,better,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,some_college,Medical,high,Female,58,high,two,Laboratory Technician,very_high,Single,4011,10781,1,No,23,Outstanding,very_high,zero,12,2,better,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,bachelors_degree,Technical Degree,meduim,Female,49,high,five,Research Director,high,Married,19545,16280,1,No,12,Excellent,very_high,zero,23,0,better,22,15,15,8
34,No,Non-Travel,1065,Sales,23,masters_degree,Marketing,meduim,Male,72,high,two,Sales Executive,high,Single,4568,10034,0,No,20,Outstanding,high,zero,10,2,better,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,some_college,Life Sciences,meduim,Male,73,high,one,Research Scientist,meduim,Married,3022,10227,4,No,21,Outstanding,low,zero,8,1,better,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,masters_degree,Marketing,low,Male,98,high,two,Sales Executive,very_high,Single,5772,20445,4,Yes,21,Outstanding,high,zero,14,4,better,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,no_college,Life Sciences,very_high,Male,36,very_high,one,Laboratory Technician,very_high,Married,2269,4892,1,No,19,Excellent,very_high,zero,1,2,better,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,some_college,Life Sciences,low,Male,98,meduim,three,Laboratory Technician,high,Single,5381,19294,9,Yes,13,Excellent,very_high,zero,23,2,better,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,masters_degree,Technical Degree,high,Male,50,high,one,Laboratory Technician,high,Single,3441,11179,1,Yes,13,Excellent,high,zero,2,3,good,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,Doctorate,Marketing,meduim,Female,75,high,two,Sales Executive,low,Divorced,5454,4009,5,Yes,21,Outstanding,high,one,9,2,good,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,some_college,Medical,high,Male,79,meduim,three,Healthcare Representative,low,Married,9884,8302,2,Yes,13,Excellent,high,one,10,3,better,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,bachelors_degree,Marketing,high,Female,47,meduim,two,Sales Executive,very_high,Married,4157,21436,7,Yes,19,Excellent,high,one,5,2,good,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,some_college,Life Sciences,low,Female,98,high,three,Research Director,very_high,Single,13458,15146,1,Yes,12,Excellent,high,zero,15,1,better,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,Doctorate,Life Sciences,meduim,Male,71,high,three,Sales Executive,low,Married,9069,11031,1,No,22,Outstanding,very_high,one,9,3,good,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,masters_degree,Medical,high,Female,30,high,one,Laboratory Technician,low,Married,4014,16002,3,Yes,15,Excellent,high,one,4,3,better,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,masters_degree,Life Sciences,very_high,Male,48,high,two,Laboratory Technician,very_high,Divorced,5915,9528,3,No,22,Outstanding,very_high,one,10,3,good,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,masters_degree,Life Sciences,low,Male,51,meduim,two,Manufacturing Director,high,Divorced,5993,2689,1,No,18,Excellent,high,one,7,2,best,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,bachelors_degree,Medical,low,Male,33,high,two,Manufacturing Director,very_high,Married,6162,10877,1,Yes,22,Outstanding,meduim,one,9,3,better,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,Doctorate,Life Sciences,very_high,Female,50,high,two,Laboratory Technician,very_high,Single,2406,5456,1,No,11,Excellent,very_high,zero,10,2,better,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,some_college,Medical,meduim,Female,43,meduim,five,Research Director,high,Divorced,18740,16701,5,Yes,12,Excellent,very_high,one,29,2,good,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,bachelors_degree,Life Sciences,low,Female,99,high,three,Sales Executive,low,Single,7637,2354,7,No,11,Excellent,very_high,zero,28,3,good,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,bachelors_degree,Technical Degree,high,Female,59,high,three,Healthcare Representative,high,Divorced,10096,8202,1,No,13,Excellent,meduim,three,17,2,better,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,bachelors_degree,Medical,very_high,Female,33,high,four,Manager,high,Divorced,14756,19730,2,Yes,14,Excellent,high,three,21,2,better,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,bachelors_degree,Life Sciences,meduim,Male,95,meduim,two,Manufacturing Director,meduim,Single,6499,22656,1,No,13,Excellent,high,zero,6,3,better,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,bachelors_degree,Life Sciences,meduim,Male,59,high,three,Research Scientist,low,Divorced,9724,18787,2,No,17,Excellent,high,one,25,2,better,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,bachelors_degree,Medical,meduim,Male,79,high,one,Research Scientist,low,Married,2194,5868,4,No,13,Excellent,very_high,one,5,2,good,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,bachelors_degree,Medical,very_high,Male,79,meduim,one,Research Scientist,high,Married,3388,21777,0,Yes,17,Excellent,low,one,2,0,good,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,no_college,Life Sciences,low,Female,57,meduim,two,Sales Executive,high,Single,5473,24668,7,No,11,Excellent,very_high,zero,20,2,good,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,bachelors_degree,Life Sciences,high,Male,76,high,one,Research Scientist,meduim,Married,2703,4956,0,No,23,Outstanding,very_high,one,6,3,better,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,masters_degree,Medical,high,Male,87,high,one,Research Scientist,meduim,Single,2501,18775,1,No,17,Excellent,meduim,zero,1,4,better,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,bachelors_degree,Life Sciences,meduim,Male,66,high,two,Research Scientist,meduim,Married,6220,7346,1,No,17,Excellent,meduim,two,10,3,better,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,bachelors_degree,Life Sciences,meduim,Female,55,very_high,one,Laboratory Technician,very_high,Married,3038,22002,3,No,12,Excellent,meduim,zero,5,3,better,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,masters_degree,Life Sciences,high,Female,61,high,two,Manufacturing Director,very_high,Single,4424,20682,1,No,23,Outstanding,very_high,zero,11,2,better,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,masters_degree,Marketing,high,Male,32,meduim,two,Sales Executive,low,Single,4312,23016,0,No,14,Excellent,meduim,zero,16,2,better,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,masters_degree,Other,very_high,Male,52,high,three,Research Director,low,Married,13245,15067,4,Yes,14,Excellent,meduim,zero,17,3,best,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,masters_degree,Medical,low,Male,30,high,three,Research Director,high,Single,13664,25258,4,No,13,Excellent,low,zero,16,3,best,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,some_college,Medical,meduim,Male,80,high,two,Human Resources,meduim,Divorced,5021,10425,8,Yes,22,Outstanding,very_high,one,16,2,better,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,no_college,Life Sciences,very_high,Male,55,meduim,two,Laboratory Technician,very_high,Married,5126,15998,1,Yes,12,Excellent,high,two,10,1,good,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,bachelors_degree,Medical,meduim,Male,30,meduim,one,Research Scientist,high,Single,2859,26278,1,No,18,Excellent,low,zero,6,3,better,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,some_college,Life Sciences,low,Male,70,high,three,Sales Executive,very_high,Married,10239,18092,3,No,14,Excellent,very_high,one,24,4,better,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,bachelors_degree,Medical,meduim,Female,79,low,two,Research Scientist,very_high,Divorced,5329,15717,7,Yes,12,Excellent,very_high,three,17,3,better,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,some_college,Medical,low,Male,94,high,two,Manufacturing Director,meduim,Married,4325,17736,1,No,15,Excellent,high,zero,5,2,better,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,bachelors_degree,Life Sciences,very_high,Male,49,low,three,Manufacturing Director,very_high,Single,7260,21698,4,No,11,Excellent,low,zero,37,3,good,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,no_college,Technical Degree,high,Male,62,high,one,Sales Representative,low,Divorced,2322,9518,3,No,13,Excellent,high,one,3,3,better,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,masters_degree,Life Sciences,very_high,Male,96,high,one,Laboratory Technician,very_high,Married,2075,18725,3,No,23,Outstanding,meduim,two,10,4,better,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,bachelors_degree,Life Sciences,high,Male,99,meduim,two,Healthcare Representative,very_high,Married,4152,15830,1,No,19,Excellent,low,three,11,3,better,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,some_college,Medical,high,Male,64,meduim,three,Sales Executive,very_high,Single,9619,13596,1,No,16,Excellent,very_high,zero,9,3,better,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,masters_degree,Life Sciences,high,Male,78,meduim,four,Healthcare Representative,meduim,Married,13503,14115,1,No,22,Outstanding,very_high,one,22,3,good,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,masters_degree,Marketing,high,Male,71,high,two,Sales Executive,very_high,Single,5441,8423,0,Yes,22,Outstanding,very_high,zero,11,2,bad,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,some_college,Medical,high,Female,63,meduim,two,Sales Executive,meduim,Divorced,5209,19760,1,Yes,12,Excellent,meduim,three,11,4,good,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,bachelors_degree,Medical,high,Male,40,meduim,three,Healthcare Representative,low,Married,10673,3142,2,Yes,13,Excellent,high,one,21,5,good,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,masters_degree,Medical,meduim,Male,87,high,two,Sales Executive,high,Single,5010,24301,1,No,16,Excellent,low,zero,12,0,better,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,masters_degree,Technical Degree,low,Female,60,high,three,Research Director,high,Married,13549,24001,9,No,12,Excellent,low,one,16,5,bad,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,some_college,Other,low,Female,33,high,two,Sales Executive,high,Married,4999,17519,0,No,21,Outstanding,low,one,4,2,good,3,2,0,2
28,No,Non-Travel,120,Sales,4,bachelors_degree,Medical,meduim,Male,43,high,two,Sales Executive,high,Married,4221,8863,1,No,15,Excellent,meduim,zero,5,3,best,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,masters_degree,Medical,very_high,Male,37,high,four,Sales Executive,high,Single,13872,24409,0,No,13,Excellent,high,zero,38,1,good,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,bachelors_degree,Medical,meduim,Male,67,high,two,Laboratory Technician,meduim,Married,2042,25043,4,No,12,Excellent,high,one,17,3,best,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,masters_degree,Human Resources,high,Male,63,high,one,Human Resources,low,Divorced,2073,23648,4,Yes,22,Outstanding,very_high,zero,7,3,better,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,no_college,Life Sciences,very_high,Male,71,high,one,Research Scientist,low,Single,2956,15178,1,No,13,Excellent,very_high,zero,1,2,better,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,bachelors_degree,Life Sciences,very_high,Female,66,meduim,one,Laboratory Technician,very_high,Single,2926,19783,1,Yes,18,Excellent,meduim,zero,1,5,better,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,masters_degree,Other,low,Female,41,high,two,Research Scientist,high,Single,4809,12482,1,No,14,Excellent,high,zero,16,3,better,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,some_college,Life Sciences,high,Male,100,meduim,two,Healthcare Representative,very_high,Divorced,5163,15850,5,No,14,Excellent,very_high,one,17,2,best,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,masters_degree,Human Resources,high,Female,32,meduim,five,Manager,very_high,Married,18844,21922,9,No,21,Outstanding,very_high,one,30,3,better,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,bachelors_degree,Life Sciences,low,Female,73,high,five,Research Director,meduim,Married,18172,9755,3,Yes,19,Excellent,low,zero,28,1,good,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,bachelors_degree,Marketing,high,Male,46,meduim,two,Sales Executive,high,Single,5744,26959,1,Yes,11,Excellent,very_high,zero,6,1,better,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,no_college,Medical,very_high,Male,64,meduim,one,Research Scientist,very_high,Married,2889,26897,1,No,11,Excellent,high,two,2,2,better,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,bachelors_degree,Medical,meduim,Female,59,high,one,Laboratory Technician,very_high,Single,2871,23785,1,No,15,Excellent,high,zero,1,5,better,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,masters_degree,Medical,low,Female,30,meduim,three,Healthcare Representative,low,Single,7484,25796,3,No,20,Outstanding,high,zero,23,1,good,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,bachelors_degree,Life Sciences,low,Male,66,low,two,Laboratory Technician,high,Single,6074,22887,1,Yes,24,Outstanding,very_high,zero,9,3,better,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,bachelors_degree,Human Resources,very_high,Female,30,very_high,four,Manager,very_high,Single,17328,13871,2,Yes,12,Excellent,high,zero,23,3,better,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,no_college,Life Sciences,meduim,Male,52,high,one,Laboratory Technician,high,Married,2774,13257,0,No,12,Excellent,high,one,6,2,better,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,masters_degree,Life Sciences,high,Female,45,meduim,two,Research Scientist,meduim,Divorced,4505,15000,6,No,15,Excellent,high,one,12,3,better,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,bachelors_degree,Life Sciences,high,Male,87,high,three,Sales Executive,very_high,Single,7428,14506,2,No,12,Excellent,low,zero,12,3,better,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,bachelors_degree,Medical,high,Female,45,meduim,three,Manager,low,Single,11631,5615,2,No,12,Excellent,very_high,zero,14,6,better,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,some_college,Technical Degree,meduim,Female,92,high,three,Sales Executive,very_high,Married,9738,22952,0,No,14,Excellent,high,one,10,6,better,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,some_college,Life Sciences,low,Female,39,high,one,Laboratory Technician,very_high,Divorced,2835,2561,5,No,22,Outstanding,low,one,7,2,better,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,some_college,Life Sciences,high,Male,92,high,four,Manager,very_high,Married,16959,19494,1,Yes,12,Excellent,very_high,two,25,3,best,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,bachelors_degree,Life Sciences,low,Male,96,low,one,Research Scientist,high,Divorced,2613,22310,1,No,25,Outstanding,high,three,10,2,good,10,7,0,9
33,No,Non-Travel,750,Sales,22,some_college,Marketing,high,Male,95,high,two,Sales Executive,meduim,Married,6146,15480,0,No,13,Excellent,low,one,8,2,best,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,masters_degree,Life Sciences,meduim,Female,72,high,one,Research Scientist,meduim,Married,4963,4510,9,Yes,18,Excellent,low,three,7,2,better,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,bachelors_degree,Life Sciences,low,Male,51,high,five,Research Director,high,Single,19537,6462,7,No,13,Excellent,high,zero,23,5,better,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,masters_degree,Life Sciences,meduim,Male,76,low,two,Sales Executive,high,Married,6172,20739,4,Yes,18,Excellent,meduim,zero,12,3,good,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,bachelors_degree,Other,high,Female,46,meduim,one,Research Scientist,meduim,Married,2368,23300,1,No,19,Excellent,high,zero,5,3,good,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,masters_degree,Medical,very_high,Female,94,high,three,Healthcare Representative,very_high,Married,10312,3465,1,No,12,Excellent,very_high,one,40,3,good,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,no_college,Marketing,very_high,Male,50,high,one,Sales Representative,high,Single,1675,26820,1,Yes,19,Excellent,very_high,zero,0,2,good,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,no_college,Technical Degree,high,Male,100,high,one,Laboratory Technician,very_high,Married,2523,19299,0,No,14,Excellent,high,one,3,2,better,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,masters_degree,Medical,high,Female,96,high,two,Manufacturing Director,low,Married,6567,5549,1,No,14,Excellent,high,zero,16,2,good,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,bachelors_degree,Medical,meduim,Female,72,very_high,one,Research Scientist,high,Single,4739,16090,4,No,12,Excellent,very_high,zero,18,2,better,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,bachelors_degree,Marketing,high,Female,77,high,three,Sales Executive,very_high,Single,9208,6645,4,No,11,Excellent,very_high,zero,16,3,better,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,bachelors_degree,Life Sciences,meduim,Female,71,low,two,Sales Executive,high,Married,4559,24788,3,Yes,11,Excellent,high,one,4,2,better,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,no_college,Life Sciences,high,Male,96,high,three,Sales Executive,high,Divorced,8189,21196,3,Yes,13,Excellent,high,one,12,2,better,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,no_college,Life Sciences,high,Female,61,high,one,Human Resources,high,Married,2942,8916,1,No,23,Outstanding,very_high,one,8,3,better,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,some_college,Medical,meduim,Male,84,high,two,Manufacturing Director,meduim,Divorced,4941,2819,6,No,20,Outstanding,very_high,two,7,0,better,3,2,0,1
